price_btc,price_usd,total_supply,percent_change_7d,available_supply,symbol,24h_volume_usd,rank,percent_change_1h,id,market_cap_usd,percent_change_24h,name,last_updated
0.00002050,0.0531347,169882200.0,14.14,169882200.0,FTC,1008820.0,169,0.59,feathercoin,9026640.0,2.07,Feathercoin,1501152541
0.00003221,0.083465,107387215.0,-7.64,107387215.0,RISE,113161.0,170,6.17,rise,8963074.0,4.31,Rise,1501152564
0.00022427,0.581164,15000000.0,3.26,15000000.0,NVST,19008.3,171,5.51,nvo,8717460.0,31.87,NVO,1501152585
0.00002890,0.0748903,114964572.0,-20.79,114964572.0,WDC,728567.0,172,1.4,worldcoin,8609731.0,10.92,WorldCoin,1501152541
0.00014139,0.36639,23256478.0,-9.06,23256478.0,BCY,26625.2,173,1.78,bitcrystals,8520941.0,3.3,Bitcrystals,1501152557
0.00029738,0.770621,11014178.0,-19.18,11014178.0,SHIFT,58986.8,174,4.29,shift,8487757.0,-0.05,Shift,1501152557
0.00001529,0.0396175,296897201.0,-2.07,211897201.0,LMC,204970.0,175,2.5,lomocoin,8394837.0,4.94,LoMoCoin,1501152568
0.00042245,1.09475,7572564.0,-25.67,7572564.0,SWT,311573.0,176,1.87,swarm-city,8290064.0,22.83,Swarm City,1501152578
0.00001262,0.0326924,251468297.0,-8.26,251468297.0,QRK,170141.0,177,-0.08,quark,8221102.0,5.21,Quark,1501152541
0.00002462,0.0637974,125556620.0,0.74,125556620.0,NOTE,42672.2,178,2.65,dnotes,8010186.0,10.24,DNotes,1501152545
0.00010844,0.281006,27618208.0,-14.88,27618208.0,HEAT,11251.0,179,0.62,heat-ledger,7760882.0,-8.54,HEAT,1501152564
0.00009861,0.255528,30319041.0,5.65,30319041.0,VRC,265976.0,180,2.85,vericoin,7747364.0,12.76,VeriCoin,1501152547
0.00003121,0.0808727,100000000.0,1.64,95000000.0,MGC,205652.0,181,2.14,mergecoin,7682907.0,7.49,MergeCoin,1501152580
0.0001464,0.379374,20022645.0,-9.2,20022645.0,XPM,335733.0,182,1.48,primecoin,7596071.0,4.38,Primecoin,1501152541
0.0296473,76.8283,98576.0,-16.47,98576.0,XBC,49211.6,183,1.38,bitcoin-plus,7573461.0,0.14,Bitcoin Plus,1501152546
0.00000413,0.010693,701884009.0,-12.68,701884009.0,PEPECASH,29757.5,184,1.41,pepe-cash,7505246.0,-3.15,Pepe Cash,1501152570
0.00002062,0.053429,135625732.0,-0.41,135625732.0,FLO,165864.0,185,2.57,florincoin,7246347.0,8.94,FlorinCoin,1501152552
0.00000551,0.014266,1000000000.0,13.31,507731988.0,FLDC,108778.0,186,1.77,foldingcoin,7243305.0,4.05,FoldingCoin,1501152553
0.00004426,0.1147,77663987.0,5.83,62131190.0,ETT,14132.5,187,1.33,encryptotel,7126447.0,8.08,EncryptoTel,1501152582
0.00008174,0.211831,32886450.0,-14.35,32886450.0,MEC,3026820.0,188,1.8,megacoin,6966370.0,6.96,Megacoin,1501152541
0.00087019,2.25502,3082940.0,18.77,3082940.0,SPHR,45027.7,189,1.3,sphere,6952092.0,13.41,Sphere,1501152586
0.0011891,3.08144,2204047.0,14.24,2204047.0,DMD,12464.1,190,2.56,diamond,6791639.0,5.8,Diamond,1501152542
0.00000395,0.0102401,650000000.0,-12.51,650000000.0,XBY,17656.5,191,1.12,xtrabytes,6656065.0,-8.91,XtraBYtes,1501152579
0.00003500,0.0907025,72183416.0,18.82,72183416.0,OK,464820.0,192,1.04,okcash,6547216.0,32.14,OKCash,1501152556
0.0021105,5.46916,1188933.0,-8.45,1188933.0,GAM,3084.75,193,1.34,gambit,6502463.0,4.67,Gambit,1501152554
